Presentation Mode,Toggle Presentation Mode,2,24,05/10/2023,1.0.1,12/19/2022;1.0.0;Initial release|05/10/2023;1.0.1;Added Version Control,,,Presentation-Mode,https://github.com/jncogs/Presentation-Mode/Toggle Presentation Mode.vsm,
Presentation Mode,Presentation Mode Settings,2,24,05/10/2023,1.0.1,12/21/2022;1.0.0;Initial release|05/10/2023;1.0.1;Added Version Control,,06/16/2024;Change settings save to string repository,Presentation-Mode,https://github.com/jncogs/Presentation-Mode/Presentation Mode Settings.vsm,
Saved Views,Saved Views to Viewports,2,24,05/10/2023,1.0.5,11/15/2021;1.0.0;Initial release|12/03/2021;1.0.1;Added button to automatically construct VP name from Saved View name|12/04/2021;1.0.2;Viewport Settings menu now populates based on List Browser|12/05/2021;1.0.3;Fixed bug with VPs not being properly reset|12/27/2021;1.0.4;Added button for auto-naming & allow for multiple List Browser selection & added Scale field|05/10/2023;1.0.5;Added Version Control,,,Saved-Views-to-Viewports,https://github.com/jncogs/Saved-Views-to-Viewports/Saved Views to Viewports.vsm,
Spaces,Space Inventory,1,27,05/25/2023,1.0.2,05/23/2023;1.0.0;Initial release|05/23/2023;1.0.1;Added title controls & Added quantity side control & Added Soft Goods and Rope and Stanchion itemization|05/23/2023;1.0.2;Added option to box text,,07/02/2024;Make a better tool icon|07/02/2024;Add more sub item object counting,Space-Inventory,https://github.com/jncogs/Space-Inventory/Space Inventory.vso,
Symbols,Create Grid of Symbols,2,27,03/29/2024,1.0.0,03/29/2024;1.0.0;Initial release,,,Create-Grid-of-Symbols,https://github.com/jncogs/Create-Grid-of-Symbols/Create Grid of Symbols.vsm,
Symbols,Randomize Symbol Insertion,2,24,12/20/2023,1.1.0,12/01/2023;1.0.0;Initial release|12/18/2023;1.1.0;Added ability to rotate 3D Symbols on X and Y axes,,,Randomize-Symbol-Insertion,https://github.com/jncogs/Randomize-Symbol-Insertion/Randomize Symbol Insertion.vsm,
Symbols,Make Symbol Unique,2,24,04/02/2024,1.0.7,07/20/2021;1.0.0;Initial release|07/21/2021;1.0.1;Patched bug with high level objects getting made twice|07/27/2021;1.0.2;Patched bu allowing tool to work on selected symbols inside viewports and other symbols|07/28/2021;1.0.3;Pathced bug with flipped symbols and layer elevations & added ability to work with more than one symbol selected|07/30/2021;1.0.4;Patched selection bug & will now only see objects on active layer & patched bug with embedded symbols|12/24/2021;1.0.5;Patched bug when running tool in 3D Component Edit of a Symbol|07/16/2022;1.0.6;Added code to bring Wall component across from original symbol|04/02/2024;1.0.7;Patched bug with User Origin on Sheet Layers,04/02/2024;Script does not work properly on flipped instances of symbols on a Sheet Layer|07/29/2022;Marcel: Some objects get duplicated too many times|07/29/2022;Marcel: Mirrored objects inside symbol flip,,Make-Symbol-Unique,https://github.com/jncogs/Make-Symbol-Unique/Make Symbol Unique.vsm,
Text Boxes,JNC-Text Along Path,1,24,09/03/2023,1.0.1,09/03/2023;1.0.0;Initial release|09/03/2023;1.0.1;Added Select New Path button to OIP,,,JNC-Text-Along-Path,https://github.com/jncogs/JNC-Text-Along-Path/JNC-Text Along Path.vso,
Text Boxes,JNC-Text Box,1,24,04/16/2024,1.0.1,04/14/2024;1.0.0;Initial release|04/16/2024;1.0.1;Added option to override list formatting for first line & option to toggle tabbing in on lists & Lock to Parent option,,06/16/2024;Find way to incorporate text size as variable with token,JNC-Text-Box,https://github.com/jncogs/JNC-Text-Box/JNC-Text Box.vso,
Text Boxes,Combine Text Boxes,2,24,05/08/2024,1.0.0,05/08/2024;1.0.0;Initial release,,,Combine-Text-Boxes,https://github.com/jncogs/Combine-Text-Boxes/Combine Text Boxes.vsm,
Viewport Controls,Set Viewport Visibilities,2,24,11/06/2023,1.0.1,01/11/2023;1.0.0;Initial release|11/05/2023;1.0.1;Added ability to toggle all visibility while holding Alt/Option,,,Set-Viewport-Visibilities,https://github.com/jncogs/Set-Viewport-Visibilities/Set Viewport Visibilities.vsm,
Viewport Controls,Update Viewports,2,24,05/10/2023,1.0.1,05/18/2021;1.0.0;Initial release|05/10/2023;1.0.1;Added Version Control,,,Update-Viewports,https://github.com/jncogs/Update-Viewports/Update Viewports.vsm,
Viewport Controls,Copy Viewport Settings,2,24,05/09/2023,2.1.3,12/23/2018;1.0.0;Initial release|12/28/2018;1.0.1;Fixed GOTO error causing command to not complete|04/20/2020;2.0.0;Adapted strings to plug-in strings & fixed Select column bug & added class and layer overrides|10/22/2020;2.1.0;Fixed VP count = 0 bug & added On Layer and Drawing # columns & added  checkbox to update VPs option|11/03/2020;2.1.1;Settings now saved to file for recall|11/14/2021;2.1.2;Added Class column to dialog list browser|11/16/2021;2.1.3;Added Sheet Description to Sheet Layer column|05/09/2023;2.1.3;Added Version Control (no other changes),,6/16/2024;Switch to string repository for settings recall,Copy-Viewport-Settings,https://github.com/jncogs/Copy-Viewport-Settings/Copy Viewport Settings.vsm,
Viewport Controls,Create VP from Selection,2,24,05/09/2023,1.1.0,04/01/2021;1.0.0;Initial release|12/04/2021;1.0.1;Fixed sheet layer delmiter bug|07/16/2022;1.1.0;Fixed User Origin bug & added checkbox to center VP on Sheet Layer|05/09/2023;1.1.0;Added Version Control (no other changes),,,Create-VP-from-Selection,https://github.com/jncogs/Create-VP-from-Selection/Create VP from Selection.vsm,
Worksheets,Stripe Worksheet Rows,2,24,05/10/2024,1.0.1,08/16/2021;1.0.0;Initial release|05/10/2023;1.0.1;Added Version Control,,,Stripe-Worksheet-Rows,https://github.com/jncogs/Stripe-Worksheet-Rows/Stripe Worksheet Rows.vsm,
Worksheets,Split Worksheet,2,24,05/10/2023,1.0.1,12/02/2021;1.0.0;Initial release|05/10/2023;1.0.1;Added Version Control,,,Split-Worksheet,https://github.com/jncogs/Split-Worksheet/Split Worksheet.vsm,
Worksheets,Link Worksheet to Record,2,24,05/11/2024,1.0.3,03/28/2024;1.0.0;Initial release|03/29/2024;1.0.1;Added Key Record Field option|04/24/2024;1.0.2;Added ability to use hidden records|05/11/2024;1.0.3;Show Hidden Records added to string repository & cleaned up Check Mismatch dialog,,07/05/2024;Add Link Direction to dialog allowing worksheet to populate from record data,Link-Worksheet-to-Record,https://github.com/jncogs/Link-Worksheet-to-Record/Link Worksheet to Record.vsm,
